reason_code,title,definition,example
RC01,High Direct GP,Direct GP productivity ranks in the top tier.,Retain SKU with strongest direct contribution.
RC02,High Halo GP,Cross-category halo contribution materially lifts total GP.,Keep diaper SKU that pulls wipes and cream.
RC03,Core Coverage,SKU is required to cover a core need state.,Protect NB tape entry to avoid coverage gap.
RC04,KVI Protection,KVI or image-sensitive SKU receives a penalty if removed.,Retain traffic-driving value pack.
RC05,Duplicate Rationalization,SKU removed because same need state already has stronger alternatives.,Delist weak duplicate mid-tier size M tape.
RC06,Shelf Capacity,Decision is constrained by available shelf width.,Facings capped due to shelf limit.
RC07,Brand Cap Guardrail,Brand facings share approached the cap rule.,No more Brand A facings allowed.
RC08,OSA Risk Alert,Recommended facings are raised to reduce stockout risk.,Add one facing for high run-rate SKU with low stock cover.
RC09,Manual Override,Decision changed by approved operator override.,Force keep a regional hero SKU.
RC10,Local Search Upgrade,Heuristic swap improved total objective versus initial greedy selection.,Replace low-score SKU with higher-value peer.
RC11,Forced Delist,Approved override explicitly delisted the SKU.,Operational team requested delist.
RC12,Forced Keep,Approved override explicitly retained the SKU.,Buyer requested keep despite low score.
